ID,Title,IMDB_id,ReleaseDate,Characters,Edges
622,Panic Room,tt0258000,2002,11,25
623,The Patriot,tt0187393,2000,51,182
624,Pearl Harbor,tt0213149,2001,54,113
625,Peeping Tom,tt0054167,1960,33,111
628,A Perfect World,tt0107808,1993,52,140
629,Pet Sematary,tt0098084,1989,20,43
630,Pet Sematary II,tt0105128,1992,31,79
631,Petulia,tt0063426,1968,42,137
632,Philadelphia,tt0107818,1993,65,258
633,Phone Booth,tt0183649,2002,17,40
634,Pi,tt0138704,1998,15,26
635,The Pianist,tt0253474,2002,39,103
636,The Piano,tt0107822,1993,25,73
637,Pineapple Express,tt0910936,2008,31,78
638,Pirates of the Caribbean: The Curse of the Black Pearl,tt0325980,2003,27,93
640,Pitch Black,tt0134847,2000,12,42
641,Planet of the Apes,tt0063442,1968,19,56
642,Platinum Blonde,tt0022268,1931,30,99
643,Platoon,tt0091763,1986,39,197
644,Pleasantville,tt0120789,1998,45,167
645,Point Break,tt0102685,1991,31,79
647,Il Postino: The Postman,tt0110877,1994,49,195
648,The Power of One,tt0105159,1992,43,114
649,Precious,tt0929632,2009,35,93
650,Predator,tt0093773,1987,13,29
651,Pretty Woman,tt0100405,1990,36,69
652,The Princess Bride,tt0093779,1987,21,64
653,The Private Life of Sherlock Holmes,tt0066249,1970,22,62
655,The Jack Benny Program,tt0042116,1950,61,239
656,The Prophecy,tt0114194,1995,50,178
657,The Proposal,tt1041829,2009,31,90
658,Psycho,tt0054215,1960,21,49
659,Public Enemies,tt1152836,2009,99,317
660,Pulp Fiction,tt0110912,1994,38,102
661,Punch-Drunk Love,tt0272338,2002,34,92
662,Purple Rain,tt0087957,1984,30,89
664,Queen of the Damned,tt0238546,2002,38,98
665,The Queen,tt0436697,2006,39,123
666,Rachel Getting Married,tt1084950,2008,21,65
667,Raging Bull,tt0081398,1980,35,89
668,Raising Arizona,tt0093822,1987,29,59
669,Rambling Rose,tt0102753,1991,19,43
670,Rambo: First Blood Part II,tt0089880,1985,23,55
671,The Reader,tt0976051,2008,29,55
672,Real Genius,tt0089886,1985,55,223
673,Rear Window,tt0047396,1954,12,17
675,Red Planet,tt0199753,2000,22,65
677,The Relic,tt0120004,1997,34,97
678,Remember Me,tt1403981,2010,27,81
679,The Replacements,tt0191397,2000,53,233
682,Reservoir Dogs,tt0105236,1992,21,82
683,Resident Evil,tt0120804,2002,22,81
685,Revolutionary Road,tt0959337,2008,18,34
686,Ring,tt0178868,1998,29,69
687,RKO 281,tt0120801,1999,41,126
688,The Road,tt0898367,2009,13,23
